F,G,time
"[-92.83, -2.28, -0.39]","[-0.19, -5.63, 0.95]",1.0
"[-92.83, -2.31, -0.39]","[-0.19, -5.64, 0.95]",8.998000000000001
"[-92.71, -2.38, -0.37]","[-0.19, -5.64, 0.95]",17.005
"[-92.63, -2.49, -0.42]","[-0.19, -5.65, 0.95]",28.009
"[-92.56, -2.55, -0.5]","[-0.2, -5.66, 0.95]",37.006
"[-92.45, -2.67, -0.49]","[-0.2, -5.66, 0.95]",50.0
"[-92.39, -2.71, -0.46]","[-0.21, -5.65, 0.95]",57.015
"[-92.42, -2.71, -0.45]","[-0.21, -5.65, 0.95]",67.008
"[-92.44, -2.7, -0.46]","[-0.21, -5.65, 0.95]",80.00699999999999
"[-92.52, -2.63, -0.4]","[-0.21, -5.64, 0.95]",92.011
"[-92.6, -2.59, -0.34]","[-0.2, -5.63, 0.95]",97.043
"[-92.74, -2.4, -0.39]","[-0.2, -5.63, 0.95]",116.055
"[-92.75, -2.43, -0.4]","[-0.2, -5.62, 0.95]",118.005
"[-92.79, -2.38, -0.4]","[-0.2, -5.63, 0.95]",128.054
"[-92.69, -2.42, -0.42]","[-0.2, -5.63, 0.95]",146.05499999999998
"[-92.64, -2.43, -0.43]","[-0.2, -5.63, 0.95]",148.012
"[-92.58, -2.48, -0.46]","[-0.2, -5.64, 0.95]",157.004
"[-92.52, -2.55, -0.47]","[-0.21, -5.64, 0.94]",167.032
"[-92.51, -2.63, -0.46]","[-0.21, -5.65, 0.95]",177.019
"[-92.47, -2.65, -0.47]","[-0.21, -5.65, 0.94]",187.03300000000002
"[-92.52, -2.7, -0.42]","[-0.21, -5.65, 0.94]",197.053
"[-92.56, -2.67, -0.4]","[-0.21, -5.64, 0.94]",207.041
"[-92.64, -2.62, -0.39]","[-0.21, -5.64, 0.94]",217.014
"[-92.69, -2.57, -0.35]","[-0.21, -5.63, 0.94]",228.009
"[-92.74, -2.52, -0.34]","[-0.21, -5.63, 0.94]",237.058
"[-92.73, -2.47, -0.32]","[-0.21, -5.63, 0.94]",250.021
"[-92.72, -2.47, -0.35]","[-0.22, -5.63, 0.94]",257.044
"[-92.68, -2.44, -0.37]","[-0.21, -5.63, 0.94]",267.023
"[-92.64, -2.45, -0.38]","[-0.22, -5.64, 0.94]",277.04400000000004
