X,Y,Z,A,B,C,time
39.95,581.99,418.69,-1.92,-1.55,0.3,0.0
39.95,581.99,418.69,-1.92,-1.55,0.3,5.998
39.95,581.99,418.69,-1.92,-1.55,0.3,11.003
39.95,581.99,418.69,-1.92,-1.55,0.3,21.002
39.95,581.99,418.69,-1.92,-1.55,0.3,31.022000000000002
39.95,581.99,418.69,-1.92,-1.55,0.3,41.012
39.95,581.99,418.69,-1.92,-1.55,0.3,51.007
39.95,581.99,418.69,-1.92,-1.55,0.3,61.018
39.96,581.99,418.69,-1.92,-1.55,0.3,89.01100000000001
39.96,581.99,418.69,-1.92,-1.55,0.3,97.013
39.96,581.99,418.69,-1.92,-1.55,0.3,97.013
39.96,581.99,418.69,-1.92,-1.55,0.3,123.05099999999999
39.96,581.99,418.69,-1.92,-1.55,0.3,125.001
39.96,581.99,418.69,-1.92,-1.55,0.3,127.05199999999999
39.96,581.99,418.69,-1.92,-1.55,0.3,131.00500000000002
39.96,581.99,418.69,-1.92,-1.55,0.3,162.998
39.96,581.99,418.69,-1.92,-1.55,0.3,165.03799999999998
39.96,581.99,418.69,-1.92,-1.55,0.3,167.002
39.96,581.99,418.69,-1.92,-1.55,0.3,171.067
39.96,581.99,418.69,-1.92,-1.55,0.3,198.067
39.96,581.99,418.69,-1.92,-1.55,0.3,203.0
39.96,581.99,418.69,-1.92,-1.55,0.3,228.06699999999998
39.96,581.99,418.68,-1.92,-1.55,0.3,230.06199999999998
39.96,581.99,418.68,-1.92,-1.55,0.3,232.06199999999998
39.96,581.99,418.68,-1.92,-1.55,0.3,234.063
39.96,581.99,418.68,-1.92,-1.55,0.3,261.05400000000003
39.96,581.99,418.68,-1.92,-1.55,0.3,263.053
39.96,581.99,418.68,-1.92,-1.55,0.3,265.003
39.96,581.99,418.68,-1.92,-1.55,0.3,271.046
39.96,581.99,418.68,-1.92,-1.55,0.3,285.001
39.96,581.99,418.68,-1.92,-1.55,0.3,291.055
39.96,581.99,418.68,-1.92,-1.55,0.3,301.01800000000003
39.96,581.99,418.68,-1.92,-1.55,0.3,311.039
39.96,581.99,418.68,-1.92,-1.55,0.3,321.03900000000004
39.96,581.99,418.68,-1.92,-1.55,0.3,331.055
39.96,581.99,418.68,-1.92,-1.55,0.3,341.052
39.96,581.99,418.68,-1.92,-1.55,0.3,351.04
39.96,581.99,418.68,-1.92,-1.55,0.3,361.055
39.96,581.99,418.68,-1.92,-1.55,0.3,371.044
39.96,581.99,418.68,-1.92,-1.55,0.3,382.042
39.96,581.99,418.68,-1.92,-1.55,0.3,391.035
39.96,581.99,418.68,-1.92,-1.55,0.3,401.039
39.96,581.99,418.68,-1.92,-1.55,0.3,411.055
39.96,581.99,418.68,-1.92,-1.55,0.3,421.057
39.96,581.99,418.68,-1.92,-1.55,0.3,431.039
39.96,581.99,418.68,-1.92,-1.55,0.3,441.05499999999995
39.96,581.99,418.68,-1.92,-1.55,0.3,451.03900000000004
39.96,581.99,418.68,-1.92,-1.55,0.3,461.055
39.96,581.99,418.68,-1.92,-1.55,0.3,471.17900000000003
39.96,581.98,418.68,-1.92,-1.55,0.3,481.18300000000005
39.96,581.98,418.68,-1.92,-1.55,0.3,491.164
39.96,581.98,418.68,-1.92,-1.55,0.3,501.12500000000006
39.96,581.98,418.68,-1.92,-1.55,0.3,511.16499999999996
39.96,581.98,418.68,-1.92,-1.55,0.3,521.164
39.96,581.98,418.68,-1.92,-1.55,0.3,531.162
39.96,581.98,418.68,-1.92,-1.55,0.3,541.1329999999999
39.96,581.98,418.68,-1.92,-1.55,0.3,551.165
39.96,581.98,418.68,-1.92,-1.55,0.3,561.169
39.96,581.98,418.68,-1.92,-1.55,0.3,571.1650000000001
39.96,581.98,418.68,-1.92,-1.55,0.3,584.1659999999999
39.96,581.98,418.68,-1.92,-1.55,0.3,591.1419999999999
