X,Y,Z,A,B,C,time
246.19,544.63,419.31,-1.92,-1.55,0.3,19.108
246.19,544.63,419.31,-1.92,-1.55,0.3,20.091
246.19,544.63,419.31,-1.92,-1.55,0.3,30.161
246.19,544.63,419.31,-1.92,-1.55,0.3,38.154
246.19,544.63,419.31,-1.92,-1.55,0.3,48.098
246.19,544.63,419.31,-1.92,-1.55,0.3,58.141
246.19,544.63,419.31,-1.92,-1.55,0.3,68.09400000000001
246.19,544.63,419.31,-1.92,-1.55,0.3,77.154
246.19,544.63,419.31,-1.92,-1.55,0.3,87.134
246.19,544.63,419.31,-1.92,-1.55,0.3,98.141
246.19,544.63,419.31,-1.92,-1.55,0.3,107.13499999999999
246.19,544.63,419.31,-1.92,-1.55,0.3,118.223
246.19,544.63,419.31,-1.92,-1.55,0.3,128.138
246.19,544.63,419.31,-1.92,-1.55,0.3,144.155
246.19,544.63,419.31,-1.92,-1.55,0.3,148.107
246.19,544.63,419.31,-1.92,-1.55,0.3,158.246
246.19,544.63,419.31,-1.92,-1.55,0.3,168.104
246.19,544.63,419.31,-1.92,-1.55,0.3,178.13899999999998
246.19,544.63,419.31,-1.92,-1.55,0.3,188.23999999999998
246.19,544.63,419.31,-1.92,-1.55,0.3,198.13400000000001
246.19,544.63,419.31,-1.92,-1.55,0.3,208.09
246.19,544.63,419.31,-1.92,-1.55,0.3,219.122
246.19,544.63,419.31,-1.92,-1.55,0.3,228.11200000000002
246.19,544.63,419.31,-1.92,-1.55,0.3,238.164
246.19,544.63,419.31,-1.92,-1.55,0.3,248.089
246.19,544.63,419.31,-1.92,-1.55,0.3,258.23699999999997
246.19,544.63,419.31,-1.92,-1.55,0.3,267.135
246.19,544.63,419.31,-1.92,-1.55,0.3,278.248
246.19,544.63,419.31,-1.92,-1.55,0.3,288.127
246.19,544.63,419.31,-1.92,-1.55,0.3,298.12699999999995
246.19,544.63,419.31,-1.92,-1.55,0.3,310.14000000000004
246.19,544.63,419.31,-1.92,-1.55,0.3,318.13399999999996
246.19,544.63,419.31,-1.92,-1.55,0.3,336.178
246.19,544.63,419.31,-1.92,-1.55,0.3,338.14
246.19,544.63,419.31,-1.92,-1.55,0.3,348.15200000000004
246.19,544.63,419.31,-1.92,-1.55,0.3,358.325
246.19,544.63,419.31,-1.92,-1.55,0.3,367.32
246.19,544.63,419.31,-1.92,-1.55,0.3,378.14300000000003
246.19,544.63,419.31,-1.92,-1.55,0.3,388.241
246.19,544.63,419.31,-1.92,-1.55,0.3,398.183
246.19,544.63,419.31,-1.92,-1.55,0.3,408.142
246.19,544.63,419.31,-1.92,-1.55,0.3,418.159
246.19,544.63,419.31,-1.92,-1.55,0.3,428.143
246.19,544.63,419.31,-1.92,-1.55,0.3,437.319
246.19,544.63,419.31,-1.92,-1.55,0.3,447.319
246.19,544.63,419.31,-1.92,-1.55,0.3,458.306
246.19,544.63,419.31,-1.92,-1.55,0.3,467.327
246.19,544.63,419.31,-1.92,-1.55,0.3,478.143
246.19,544.63,419.31,-1.92,-1.55,0.3,488.153
246.19,544.63,419.31,-1.92,-1.55,0.3,497.315
246.19,544.63,419.31,-1.92,-1.55,0.3,507.31000000000006
246.19,544.63,419.31,-1.92,-1.55,0.3,518.143
246.19,544.63,419.31,-1.92,-1.55,0.3,528.162
246.19,544.63,419.31,-1.92,-1.55,0.3,538.143
246.19,544.63,419.31,-1.92,-1.55,0.3,548.3050000000001
246.19,544.63,419.31,-1.92,-1.55,0.3,558.141
246.19,544.63,419.31,-1.92,-1.55,0.3,567.315
246.19,544.63,419.31,-1.92,-1.55,0.3,580.2779999999999
246.19,544.63,419.31,-1.92,-1.55,0.3,588.144
246.19,544.63,419.31,-1.92,-1.55,0.3,597.314
246.19,544.63,419.31,-1.92,-1.55,0.3,608.143
246.19,544.63,419.31,-1.92,-1.55,0.3,617.318
246.19,544.63,419.31,-1.92,-1.55,0.3,627.313
246.19,544.63,419.31,-1.92,-1.55,0.3,638.226
246.19,544.63,419.31,-1.92,-1.55,0.3,647.317
246.19,544.63,419.31,-1.92,-1.55,0.3,657.3149999999999
246.19,544.63,419.31,-1.92,-1.55,0.3,667.319
246.19,544.63,419.31,-1.92,-1.55,0.3,677.314
246.19,544.63,419.31,-1.92,-1.55,0.3,688.1429999999999
246.19,544.63,419.31,-1.92,-1.55,0.3,698.1690000000001
246.19,544.63,419.31,-1.92,-1.55,0.3,708.2310000000001
246.19,544.63,419.31,-1.92,-1.55,0.3,717.315
246.19,544.63,419.31,-1.92,-1.55,0.3,728.1419999999999
246.19,544.63,419.31,-1.92,-1.55,0.3,737.2109999999999
246.19,544.63,419.31,-1.92,-1.55,0.3,747.318
246.19,544.63,419.31,-1.92,-1.55,0.3,758.236
246.19,544.63,419.31,-1.92,-1.55,0.3,767.3100000000001
246.19,544.63,419.31,-1.92,-1.55,0.3,778.145
246.19,544.63,419.31,-1.92,-1.55,0.3,788.143
246.19,544.63,419.31,-1.92,-1.55,0.3,797.14
246.19,544.63,419.31,-1.92,-1.55,0.3,808.1429999999999
246.19,544.63,419.31,-1.92,-1.55,0.3,818.144
246.19,544.63,419.31,-1.92,-1.55,0.3,828.1429999999999
246.19,544.63,419.31,-1.92,-1.55,0.3,838.142
246.19,544.63,419.31,-1.92,-1.55,0.3,847.324
246.19,544.63,419.31,-1.92,-1.55,0.3,860.144
246.19,544.63,419.31,-1.92,-1.55,0.3,868.147
246.19,544.63,419.31,-1.92,-1.55,0.3,878.302
246.19,544.63,419.31,-1.92,-1.55,0.3,887.18
246.19,544.63,419.31,-1.92,-1.55,0.3,898.144
246.19,544.63,419.31,-1.92,-1.55,0.3,907.326
246.19,544.63,419.31,-1.92,-1.55,0.3,918.1460000000001
246.19,544.63,419.31,-1.92,-1.55,0.3,927.32
246.19,544.63,419.31,-1.92,-1.55,0.3,938.2819999999999
246.19,544.63,419.31,-1.92,-1.55,0.3,947.317
246.19,544.63,419.31,-1.92,-1.55,0.3,958.144
246.19,544.63,419.31,-1.92,-1.55,0.3,968.1419999999999
246.19,544.63,419.31,-1.92,-1.55,0.3,977.311
246.19,544.63,419.31,-1.92,-1.55,0.3,988.144
246.19,544.63,419.31,-1.92,-1.55,0.3,998.174
246.19,544.63,419.31,-1.92,-1.55,0.3,1007.3129999999999
246.19,544.63,419.31,-1.92,-1.55,0.3,1017.318
246.19,544.63,419.31,-1.92,-1.55,0.3,1028.26
246.19,544.63,419.31,-1.92,-1.55,0.3,1037.2269999999999
246.19,544.63,419.31,-1.92,-1.55,0.3,1047.32
246.19,544.63,419.31,-1.92,-1.55,0.3,1058.242
246.19,544.63,419.31,-1.92,-1.55,0.3,1067.3120000000001
246.19,544.63,419.31,-1.92,-1.55,0.3,1078.143
246.19,544.63,419.31,-1.92,-1.55,0.3,1088.1570000000002
246.19,544.63,419.31,-1.92,-1.55,0.3,1097.3129999999999
246.19,544.63,419.31,-1.92,-1.55,0.3,1107.315
246.19,544.63,419.31,-1.92,-1.55,0.3,1117.327
246.19,544.63,419.31,-1.92,-1.55,0.3,1128.171
246.19,544.63,419.31,-1.92,-1.55,0.3,1140.231
246.19,544.63,419.31,-1.92,-1.55,0.3,1148.1570000000002
246.19,544.63,419.31,-1.92,-1.55,0.3,1157.312
246.19,544.63,419.31,-1.92,-1.55,0.3,1167.315
246.19,544.63,419.31,-1.92,-1.55,0.3,1178.223
246.19,544.63,419.31,-1.92,-1.55,0.3,1188.218
246.19,544.63,419.31,-1.92,-1.55,0.3,1198.144
246.19,544.63,419.31,-1.92,-1.55,0.3,1207.3149999999998
246.19,544.63,419.31,-1.92,-1.55,0.3,1217.318
246.19,544.63,419.31,-1.92,-1.55,0.3,1227.319
246.19,544.63,419.31,-1.92,-1.55,0.3,1238.299
246.19,544.63,419.31,-1.92,-1.55,0.3,1247.3129999999999
246.19,544.63,419.31,-1.92,-1.55,0.3,1257.3129999999999
246.19,544.63,419.31,-1.92,-1.55,0.3,1267.141
246.19,544.63,419.31,-1.92,-1.55,0.3,1278.163
246.19,544.63,419.31,-1.92,-1.55,0.3,1287.179
246.19,544.63,419.31,-1.92,-1.55,0.3,1298.2350000000001
246.19,544.63,419.31,-1.92,-1.55,0.3,1307.319
246.19,544.63,419.31,-1.92,-1.55,0.3,1317.144
246.19,544.63,419.31,-1.92,-1.55,0.3,1327.311
246.19,544.63,419.31,-1.92,-1.55,0.3,1337.321
246.19,544.63,419.31,-1.92,-1.55,0.3,1348.2479999999998
246.19,544.63,419.31,-1.92,-1.55,0.3,1358.1570000000002
246.19,544.63,419.31,-1.92,-1.55,0.3,1367.192
246.19,544.63,419.31,-1.92,-1.55,0.3,1378.156
246.19,544.63,419.31,-1.92,-1.55,0.3,1387.323
246.19,544.63,419.31,-1.92,-1.55,0.3,1397.3139999999999
246.19,544.63,419.31,-1.92,-1.55,0.3,1407.311
246.19,544.63,419.31,-1.92,-1.55,0.3,1421.315
246.19,544.63,419.31,-1.92,-1.55,0.3,1428.143
246.19,544.63,419.31,-1.92,-1.55,0.3,1437.3149999999998
246.19,544.63,419.31,-1.92,-1.55,0.3,1447.316
246.19,544.63,419.31,-1.92,-1.55,0.3,1457.313
246.19,544.63,419.31,-1.92,-1.55,0.3,1468.143
246.19,544.63,419.31,-1.92,-1.55,0.3,1478.294
246.19,544.63,419.31,-1.92,-1.55,0.3,1487.308
246.19,544.63,419.31,-1.92,-1.55,0.3,1498.143
246.19,544.63,419.31,-1.92,-1.55,0.3,1508.2949999999998
246.19,544.63,419.31,-1.92,-1.55,0.3,1518.143
246.19,544.63,419.31,-1.92,-1.55,0.3,1527.3159999999998
246.19,544.63,419.31,-1.92,-1.55,0.3,1538.244
246.19,544.63,419.31,-1.92,-1.55,0.3,1548.143
246.19,544.63,419.31,-1.92,-1.55,0.3,1558.1419999999998
246.19,544.63,419.31,-1.92,-1.55,0.3,1568.152
246.19,544.63,419.31,-1.92,-1.55,0.3,1577.316
246.19,544.63,419.31,-1.92,-1.55,0.3,1587.307
246.19,544.63,419.31,-1.92,-1.55,0.3,1598.29
246.19,544.63,419.31,-1.92,-1.55,0.3,1608.1460000000002
246.19,544.63,419.31,-1.92,-1.55,0.3,1618.145
246.19,544.63,419.31,-1.92,-1.55,0.3,1628.144
246.19,544.63,419.31,-1.92,-1.55,0.3,1638.144
246.19,544.63,419.31,-1.92,-1.55,0.3,1647.305
246.19,544.63,419.31,-1.92,-1.55,0.3,1658.2079999999999
246.19,544.63,419.31,-1.92,-1.55,0.3,1668.249
246.19,544.63,419.31,-1.92,-1.55,0.3,1677.1609999999998
246.19,544.63,419.31,-1.92,-1.55,0.3,1688.145
246.19,544.63,419.31,-1.92,-1.55,0.3,1700.186
246.19,544.63,419.31,-1.92,-1.55,0.3,1708.1589999999999
246.19,544.63,419.31,-1.92,-1.55,0.3,1719.1940000000002
246.19,544.63,419.31,-1.92,-1.55,0.3,1728.1960000000001
246.19,544.63,419.31,-1.92,-1.55,0.3,1738.157
246.19,544.63,419.31,-1.92,-1.55,0.3,1748.2949999999998
246.19,544.63,419.31,-1.92,-1.55,0.3,1758.1709999999998
