F,G,time
"[-92.54, -2.08, -0.26]","[-0.04, -5.8, 1.04]",9.0
"[-92.46, -2.0, -0.25]","[-0.05, -5.8, 1.04]",16.009
"[-92.47, -1.92, -0.24]","[-0.06, -5.79, 1.04]",26.011
"[-92.49, -1.87, -0.24]","[-0.06, -5.79, 1.04]",36.009
"[-92.48, -1.88, -0.27]","[-0.05, -5.79, 1.04]",49.009
"[-92.5, -1.92, -0.3]","[-0.04, -5.79, 1.05]",57.013
"[-92.5, -1.96, -0.29]","[-0.04, -5.79, 1.05]",66.103
"[-92.51, -1.98, -0.24]","[-0.04, -5.79, 1.05]",76.102
"[-92.55, -1.97, -0.22]","[-0.04, -5.79, 1.05]",86.11099999999999
"[-92.56, -2.04, -0.18]","[-0.04, -5.78, 1.05]",96.096
"[-92.55, -2.05, -0.2]","[-0.03, -5.79, 1.05]",106.10300000000001
"[-92.53, -2.05, -0.21]","[-0.04, -5.78, 1.05]",116.167
"[-92.54, -2.05, -0.23]","[-0.05, -5.78, 1.04]",130.047
"[-92.5, -2.03, -0.24]","[-0.05, -5.78, 1.04]",136.161
"[-92.5, -2.0, -0.26]","[-0.06, -5.78, 1.04]",147.006
"[-92.54, -2.03, -0.24]","[-0.06, -5.78, 1.03]",156.162
"[-92.52, -2.0, -0.25]","[-0.06, -5.78, 1.04]",166.035
"[-92.54, -1.98, -0.25]","[-0.06, -5.78, 1.04]",177.006
"[-92.59, -1.98, -0.21]","[-0.06, -5.77, 1.04]",191.007
"[-92.56, -1.98, -0.21]","[-0.07, -5.77, 1.04]",196.16
"[-92.63, -2.01, -0.22]","[-0.06, -5.77, 1.04]",206.161
"[-92.63, -2.03, -0.2]","[-0.06, -5.77, 1.04]",216.161
"[-92.63, -2.03, -0.19]","[-0.05, -5.77, 1.04]",226.162
"[-92.63, -2.04, -0.15]","[-0.05, -5.77, 1.04]",236.07500000000002
"[-92.61, -2.04, -0.16]","[-0.06, -5.76, 1.04]",246.178
"[-92.64, -2.03, -0.17]","[-0.06, -5.77, 1.03]",256.15700000000004
"[-92.63, -2.05, -0.18]","[-0.07, -5.76, 1.03]",266.167
